OUT = 92.000000 	 PREOUT = 94.000000 	 ERROR = -0.414328 	 TACHO = 0.974230 	 SOURCE = 0.559902 
OUT = 90.000000 	 PREOUT = 92.000000 	 ERROR = -0.391932 	 TACHO = 0.951834 	 SOURCE = 0.559902 
OUT = 88.000000 	 PREOUT = 90.000000 	 ERROR = -0.369536 	 TACHO = 0.929438 	 SOURCE = 0.559902 
OUT = 90.000000 	 PREOUT = 88.000000 	 ERROR = -0.335941 	 TACHO = 0.907042 	 SOURCE = 0.571100 
OUT = 88.000000 	 PREOUT = 90.000000 	 ERROR = -0.335941 	 TACHO = 0.895844 	 SOURCE = 0.559902 
OUT = 86.000000 	 PREOUT = 88.000000 	 ERROR = -0.335941 	 TACHO = 0.895844 	 SOURCE = 0.559902 
OUT = 84.000000 	 PREOUT = 86.000000 	 ERROR = -0.324743 	 TACHO = 0.884646 	 SOURCE = 0.559902 
OUT = 82.000000 	 PREOUT = 84.000000 	 ERROR = -0.313545 	 TACHO = 0.873448 	 SOURCE = 0.559902 
OUT = 84.000000 	 PREOUT = 82.000000 	 ERROR = -0.279951 	 TACHO = 0.839854 	 SOURCE = 0.559902 
OUT = 80.000000 	 PREOUT = 82.000000 	 ERROR = -0.268753 	 TACHO = 0.828655 	 SOURCE = 0.559902 
OUT = 78.000000 	 PREOUT = 80.000000 	 ERROR = -0.279951 	 TACHO = 0.839854 	 SOURCE = 0.559902 
OUT = 80.000000 	 PREOUT = 78.000000 	 ERROR = -0.246357 	 TACHO = 0.817457 	 SOURCE = 0.571100 
