ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2017-03-10 13:40:05 400m





Relative time;HS4D-5(24422).Ch4;HS4D-5(24422).Ch3;HS4D-5(24422).Ch1;HS4D-5(24422).Ch2
s;V;V;V;V
1.26585;0.28629857;1.8100102;369.32331;367.66467
1.2659;0.10633947;1.691522;371.32832;370.85828
1.26595;0.30265849;1.8222676;374.93734;374.4511
1.266;0.10224949;1.6792646;378.94737;378.04391
1.26605;0.020449898;1.6343207;382.15539;381.23752
1.2661;0.24539877;1.773238;384.96241;384.03194
1.26615;0.09406953;1.6670072;386.56642;385.22954
1.2662;0.22494888;1.7487232;387.76942;387.22555
1.26625;0.12678937;1.6833504;390.17544;389.22156
1.2663;0.12269939;1.6833504;394.18546;392.81437
1.26635;0.20858896;1.7446374;395.78947;395.20958
1.2664;0.057259714;1.6424923;396.99248;396.80639
1.26645;0.16359918;1.691522;398.99749;397.20559
1.2665;0.22903885;1.752809;398.99749;398.8024
1.26655;0.3599182;1.8631256;399.7995;398.8024
1.2666;0.61758691;2.0755873;399.7995;399.6008
1.26665;0.29038855;1.834525;400.2005;399.2016
1.2667;0.25766871;1.7773238;399.3985;399.2016
1.26675;0.077709611;1.6220633;398.59649;398.00399
1.2668;0.0040899796;1.5689479;398.59649;397.60479
1.26685;0.2208589;1.7242084;396.59148;396.80639
1.2669;0.14314928;1.6629213;396.59148;396.00798
1.26695;0.30674847;1.7814096;396.19048;395.60878
1.267;0.19631902;1.6874362;395.78947;394.41118
1.26705;0.081799591;1.6098059;394.18546;393.61277
1.2671;0.2208589;1.711951;393.38346;392.01597
1.26715;0.085889571;1.6057201;391.77945;390.41916
1.2672;0.29038855;1.7405516;389.77444;388.82236
1.26725;0.26584867;1.73238;388.17043;388.02395
1.2673;0.24130879;1.7201226;386.56642;385.62874
1.26735;0.21676892;1.6956078;384.96241;384.03194
1.2674;0.081799591;1.5852911;381.75439;380.83832
1.26745;0.30674847;1.7446374;379.34837;378.04391
1.2675;0.19631902;1.671093;377.74436;376.44711
1.26755;0.31083845;1.752809;375.73935;374.8503
1.2676;0.2208589;1.691522;372.93233;372.45509
1.26765;0.18404908;1.6547497;370.92732;370.05988
1.2677;0.36809816;1.773238;368.1203;366.86627
1.26775;0.1799591;1.6384065;365.71429;364.87026
1.2678;0.16768916;1.6302349;363.30827;362.07585
1.26785;0.2208589;1.671093;361.30326;360.07984
1.2679;0.17586912;1.6424923;358.09524;357.28543
1.26795;0.43353783;1.8222676;354.88722;354.09182
1.268;0.38445808;1.7773238;352.88221;352.09581
1.26805;0.29856851;1.7242084;350.07519;349.7006
1.2681;0.25766871;1.691522;348.47118;346.90619
1.26815;0.22903885;1.6670072;345.26316;344.91018
1.2682;0.50306748;1.854954;342.45614;341.71657
1.26825;0.29038855;1.7078652;339.64912;338.92216
1.2683;0.28629857;1.711951;337.24311;336.52695
1.26835;0.24948875;1.671093;334.83709;334.13174
1.2684;0.22903885;1.6506639;331.62907;330.93812
1.26845;0.50715746;1.8426966;329.22306;328.14371
1.2685;0.34764826;1.7364658;326.41604;325.7485
1.26855;0.3190184;1.711951;324.01003;324.1517
1.2686;0.200409;1.6179775;324.41103;324.1517
1.26865;0.21676892;1.6261491;324.41103;323.7525
1.2687;0.37218814;1.7160368;324.01003;323.7525
1.26875;0.20858896;1.5975485;323.60902;322.15569
1.2688;0.14314928;1.5566905;323.20802;322.15569
1.26885;0.17586912;1.5158325;342.05514;340.91816
1.2689;-0.012269939;1.40143;346.46617;345.70858
1.26895;0.16768916;1.5403473;350.87719;349.7006
1.269;0.049079755;1.4708887;354.08521;353.69261
1.26905;-0.057259714;1.4055158;358.09524;356.88623
1.2691;-0.0081799591;1.4300306;360.50125;360.07984
1.26915;-0.020449898;1.4096016;363.30827;362.07585
1.2692;0.053169734;1.4668029;366.51629;365.26946
1.26925;0.11042945;1.5117467;369.72431;368.46307
1.2693;0.016359918;1.4463739;372.93233;372.05589
1.26935;-0.032719836;1.421859;375.73935;375.6487
1.2694;-0.065439673;1.3850868;378.94737;378.44311
1.26945;0.13496933;1.5280899;380.95238;380.43912
1.2695;0.044989775;1.4708887;383.3584;382.43513
1.26955;-0.040899796;1.4136874;385.36341;384.03194
1.2696;0;1.4463739;386.96742;386.02794
1.26965;-0.15541922;1.3278856;387.76942;387.22555
1.2697;0.09406953;1.5117467;390.17544;389.22156
1.26975;-0.053169734;1.4136874;391.77945;390.41916
1.2698;-0.016359918;1.4382022;392.58145;391.61677
1.26985;0.036809816;1.4831461;393.38346;392.81437
1.2699;-0.069529652;1.4096016;394.18546;393.21357
1.26995;0.077709611;1.5199183;394.98747;393.61277
1.27;-0.21676892;1.2911134;394.98747;394.01198
1.27005;-0.085889571;1.3850868;394.58647;394.01198
1.2701;0.020449898;1.4668029;394.98747;394.41118
